sentence,aspect,sentiment
also i wa amazed by the great moral message that this movie delivered to u,moral message,1
sometimes a sequel exceeds expectation and set a benchmark and pus in boot 2 ha done exactly that,sequel,1
the story overall is great,story,1
and because of that we get a hero who feel genuinely imperiled,hero,0
there are a lot of cameo from other character out of the shrek franchise that are very fun to see on the big screen again,character,1
firstly the animation style had added clear manga influence,style,0
the film animeinfluenced action sequence are visually striking and the use of dramatic shadow and subtle dissolve help to smoothly transition between scene,action sequence,1
the attempted humor missed 95 of the time because it lazyily written and geared solely towards 5yearolds,humor,0
no need to say the visuals of this film are outstanding,visuals,1
the spiderverselike visuals and action sequence are stunning and stylish,visuals,1
the spiderverselike visuals and action sequence are stunning and stylish,action sequence,1
the animation in this movie is top tier absolutely amazing,animation,1
the editing is misjudged in the first half but pretty smooth in the latter half of the film,editing,0
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,animation,1
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,joke,1
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,character,1
a layered and vibrant showing with marvelous animation savvy funny joke many of which are adultoriented terrific character and of course a stellar collection of vocalist,vocalist,1
i cant go on without mentioning that one of the villain in this is something straight out of a horror movie and it one of the most unique experience ive had in an animated film were i a a fully grown adult wa legitimately intimidated by it,villain,1
shockingly emotional hilarious and terrifying pus in boot the last wish is a touching story about mortality and making the most of the time you have,story,1
i hope this addition to the revived shrek universe mean were going to see some more of these fun character soon,character,1
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,character,1
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,motivation,1
every character is so wellwritten their motivation are crystal clear and the pacing of the movie is just perfect,pacing,1
for a sequel this story seems very fresh and imaginative providing a new spin on several classic storybook creature in a very provocative and entertaining manner,story,1
the voice cast in pus in boot the last wish wa great and there were some very good talent on the cast list,voice cast,1
it added depth and emotion to the scene and the song were catchy and memorable,scene,1
it added depth and emotion to the scene and the song were catchy and memorable,song,1
the action is also compelling the emotional moment hit fairly well and the humour hit more than it miss,action,1
the action is also compelling the emotional moment hit fairly well and the humour hit more than it miss,humour,1
they managed to give every character a change to shine without giving up any of the fun gag and shenanigan,character,1
the story open up in a lively bar where pus performs the catchiest original earworms of the franchise in fearless hero setting up his largerthanlife presence,story,0
there wa a lot of style over substance in this movie the visual graphic are over the top wow especially with the constantly changing magical dark forest but at the end of the day the writing just isnt there,style,0
there wa a lot of style over substance in this movie the visual graphic are over the top wow especially with the constantly changing magical dark forest but at the end of the day the writing just isnt there,visual,1
there really isnt much to complain about with this story,story,1
i teared up a lot when i wa in the cinema the skill of storytelling is amazing,storytelling,1
wagner moura did an excellent job portraying this character there couldnt have been better casting the voice actor himself fit the role exceedingly well,character,1
